min_jacc	comparison
0.7258064516129032	All
0.7843137254901961	All
0.7619047619047619	All
0.7647058823529411	All
0.7777777777777778	All
0.7480314960629921	All
0.7419354838709677	All
0.5277777777777778	All
0.6888888888888889	All
0.7613636363636364	All
0.7205882352941176	All
0.7037037037037037	All
0.48484848484848486	All
0.7176470588235294	All
0.7586206896551724	All
0.7625	All
0.7692307692307693	All
0.7954545454545454	All
0.7619047619047619	All
0.7692307692307693	All
0.7012987012987013	All
0.7727272727272727	All
0.7014925373134329	All
0.7078651685393258	All
0.8648648648648649	All
0.8888888888888888	All
0.8888888888888888	All
0.9117647058823529	All
0.6052631578947368	All
0.7567567567567568	All
0.7647058823529411	All
0.8666666666666667	All
0.6382978723404256	All
0.8113207547169812	All
0.6923076923076923	All
0.7886178861788617	All
0.7209302325581395	All
0.8333333333333334	All
0.7837837837837838	All
0.7230769230769231	All
0.6938775510204082	All
0.45454545454545453	All
0.676923076923077	All
0.5641025641025641	All
0.7169811320754716	All
0.782608695652174	All
0.6956521739130435	All
0.6949152542372882	All
0.71875	All
0.7205882352941176	All
0.6282051282051282	All
0.6530612244897959	All
0.7	All
0.6956521739130435	All
0.6944444444444444	All
0.6111111111111112	All
0.6721311475409836	All
0.6851851851851852	All
0.39285714285714285	All
0.671875	All
0.6857142857142857	All
0.7261904761904762	All
0.7228915662650602	All
0.6818181818181818	All
0.796875	All
0.7540983606557377	All
0.6111111111111112	All
0.6052631578947368	All
0.6935483870967742	All
0.6129032258064516	All
0.75	All
0.6333333333333333	All
0.5714285714285714	All
0.6764705882352942	All
0.676923076923077	All
0.6	All
0.58	All
0.631578947368421	All
0.7560975609756098	All
0.4782608695652174	All
0.6	All
0.6486486486486487	All
0.717391304347826	All
0.7692307692307693	All
0.6909090909090909	All
0.717948717948718	All
0.6136363636363636	All
0.6511627906976745	All
0.7358490566037735	All
0.5263157894736842	All
0.6346153846153846	All
0.7017543859649122	All
0.42424242424242425	All
0.625	All
0.6379310344827587	All
0.6271186440677966	All
0.6578947368421053	All
0.6875	All
0.8055555555555556	All
0.7037037037037037	All
0.631578947368421	All
0.7	All
0.75	All
0.6888888888888889	All
0.6341463414634146	All
0.6911764705882353	All
0.676923076923077	All
0.6538461538461539	All
0.6964285714285714	All
0.6666666666666666	All
0.6	All
0.6607142857142857	All
0.6666666666666666	All
0.6538461538461539	All
0.704225352112676	All
0.7183098591549296	All
0.7368421052631579	All
0.691358024691358	All
0.7142857142857143	All
0.5652173913043478	All
0.6363636363636364	All
0.6046511627906976	All
0.711864406779661	All
0.6078431372549019	All
0.6875	All
0.5178571428571429	All
0.5909090909090909	All
0.6666666666666666	All
0.6888888888888889	All
0.5909090909090909	All
0.6444444444444445	All
0.6136363636363636	All
0.6875	All
0.7105263157894737	All
0.6590909090909091	All
0.7333333333333333	All
0.7386363636363636	All
0.7582417582417582	All
0.6530612244897959	All
0.7317073170731707	All
0.7763157894736842	All
0.7017543859649122	All
0.6571428571428571	All
0.76	All
0.6833333333333333	All
0.64	All
0.7301587301587301	All
0.6197183098591549	All
0.704225352112676	All
0.7215189873417721	All
0.6551724137931034	All
0.6744186046511628	All
0.49230769230769234	All
0.6046511627906976	All
0.6153846153846154	All
0.6268656716417911	All
0.45161290322580644	All
0.6666666666666666	All
0.559322033898305	All
0.5892857142857143	All
0.7333333333333333	All
0.7681159420289855	All
0.7692307692307693	All
0.6521739130434783	All
0.5303030303030303	All
0.6730769230769231	All
0.7857142857142857	All
0.7702702702702703	All
0.7831325301204819	All
0.7142857142857143	All
0.75	All
0.5409836065573771	All
0.6712328767123288	All
0.7142857142857143	All
0.6666666666666666	All
0.1875	All
0.6666666666666666	All
0.7093023255813954	All
0.6	All
0.7162162162162162	All
0.7058823529411765	All
0.6896551724137931	All
0.6923076923076923	All
0.6388888888888888	All
0.4	All
0.5970149253731343	All
0.6935483870967742	All
0.35	All
0.4444444444444444	All
0.609375	All
0.5471698113207547	All
0.5897435897435898	All
0.7428571428571429	All
0.6986301369863014	All
0.6296296296296297	All
0.5416666666666666	All
0.7222222222222222	All
0.6571428571428571	All
0.7297297297297297	All
0.6268656716417911	All
0.6896551724137931	All
0.6226415094339622	All
0.7288135593220338	All
0.6271186440677966	All
0.7538461538461538	All
0.7441860465116279	All
0.6811594202898551	All
0.6721311475409836	All
0.34285714285714286	All
0.5348837209302325	All
0.6	All
0.7017543859649122	All
0.6716417910447762	All
0.5714285714285714	All
0.7166666666666667	All
0.6111111111111112	All
0.6785714285714286	All
0.6911764705882353	All
0.6853932584269663	All
0.6	All
0.5882352941176471	All
0.6111111111111112	All
0.5918367346938775	All
0.5319148936170213	All
0.6190476190476191	All
0.6862745098039216	All
0.5471698113207547	All
0.8053097345132744	All
0.7258064516129032	All
0.6140350877192983	All
0.7	All
0.7230769230769231	All
0.7301587301587301	All
0.7837837837837838	All
0.5901639344262295	All
0.6935483870967742	All
0.6923076923076923	All
0.7037037037037037	All
0.7166666666666667	All
0.660377358490566	All
0.7317073170731707	All
0.7926829268292683	All
0.7840909090909091	All
0.7623762376237624	All
0.46808510638297873	All
0.631578947368421	All
0.5245901639344263	All
0.6666666666666666	All
0.6410256410256411	All
0.6756756756756757	All
0.6833333333333333	All
0.6923076923076923	All
0.7475728155339806	All
0.6491228070175439	All
0.6951219512195121	All
0.6585365853658537	All
0.6575342465753424	All
0.6388888888888888	All
0.6875	All
0.640625	All
0.6610169491525424	All
0.7014925373134329	All
0.6333333333333333	All
0.7	All
0.6987951807228916	All
0.7	All
0.7714285714285715	All
0.7719298245614035	All
0.7428571428571429	All
0.7380952380952381	All
0.7951807228915663	All
0.7297297297297297	All
0.7272727272727273	All
0.6938775510204082	All
0.696969696969697	All
0.68	All
0.7027027027027027	All
0.6181818181818182	All
0.7049180327868853	All
0.7142857142857143	All
0.5660377358490566	All
0.686046511627907	All
0.6779661016949152	All
0.7090909090909091	All
0.532258064516129	All
0.5849056603773585	All
0.5098039215686274	All
0.7346938775510204	All
0.5892857142857143	All
0.6818181818181818	All
0.6521739130434783	All
0.6428571428571429	All
0.6779661016949152	All
0.5957446808510638	All
0.7733333333333333	All
0.618421052631579	All
0.7678571428571429	All
0.46808510638297873	All
0.65	All
0.65625	All
0.6216216216216216	All
0.7037037037037037	All
0.6727272727272727	All
0.7307692307692307	All
0.7676767676767676	All
0.6363636363636364	All
0.6142857142857143	All
0.7415730337078652	All
0.6363636363636364	All
0.6140350877192983	All
0.5283018867924528	All
0.6666666666666666	All
0.6461538461538462	All
0.6627906976744186	All
0.7375	All
0.5576923076923077	All
0.75	All
0.6811594202898551	All
0.6962025316455697	All
0.7	All
0.7	All
0.6823529411764706	All
0.6363636363636364	All
0.5483870967741935	All
0.6727272727272727	All
0.7121212121212122	All
0.5116279069767442	All
0.6455696202531646	All
0.7380952380952381	All
0.7228915662650602	All
0.7469879518072289	All
0.7065217391304348	All
0.68	All
0.686046511627907	All
0.6111111111111112	All
0.7183098591549296	All
0.37142857142857144	All
0.6097560975609756	All
0.6666666666666666	All
0.7450980392156863	All
0.75	All
0.711864406779661	All
0.46875	All
0.5641025641025641	All
0.6222222222222222	All
0.6	All
0.46875	All
0.6666666666666666	All
0.6666666666666666	All
0.6792452830188679	All
0.6136363636363636	All
0.7	All
0.6455696202531646	All
0.5185185185185185	All
0.5945945945945946	All
0.8055555555555556	All
0.6363636363636364	All
0.5686274509803921	All
0.6470588235294118	All
0.6710526315789473	All
0.6753246753246753	All
0.6285714285714286	All
0.56	All
0.5555555555555556	All
0.4782608695652174	All
0.5588235294117647	All
0.6290322580645161	All
0.6027397260273972	All
0.5833333333333334	All
0.6521739130434783	All
0.3235294117647059	All
0.6101694915254238	All
0.7058823529411765	All
0.6029411764705882	All
0.6666666666666666	All
0.4105263157894737	All
0.7349397590361446	All
0.5652173913043478	All
0.5686274509803921	All
0.6122448979591837	All
0.32	All
0.4358974358974359	All
0.5964912280701754	All
0.6363636363636364	All
0.6470588235294118	All
0.6271186440677966	All
0.6271186440677966	All
0.5964912280701754	All
0.6166666666666667	All
0.6507936507936508	All
0.6333333333333333	All
0.4528301886792453	All
0.7297297297297297	All
0.6440677966101694	All
0.7027027027027027	All
0.7121212121212122	All
0.6	All
0.6935483870967742	All
0.7307692307692307	All
0.6666666666666666	All
0.6296296296296297	All
0.5945945945945946	All
0.6428571428571429	All
0.640625	All
0.7735849056603774	All
0.7818181818181819	All
0.7719298245614035	All
0.7777777777777778	All
0.675	All
0.696969696969697	All
0.4426229508196721	All
0.6938775510204082	All
0.6923076923076923	All
0.75	All
0.6585365853658537	All
0.6153846153846154	All
0.6071428571428571	All
0.5686274509803921	All
0.7377049180327869	All
0.7222222222222222	All
0.7068965517241379	All
0.6	All
0.631578947368421	All
0.6222222222222222	All
0.6382978723404256	All
0.673469387755102	All
0.7169811320754716	All
0.5789473684210527	All
0.5833333333333334	All
0.5757575757575758	All
0.5238095238095238	All
0.62	All
0.45098039215686275	All
0.5903614457831325	All
0.64	All
0.6818181818181818	All
0.72	All
0.7169811320754716	All
0.6481481481481481	All
0.6440677966101694	All
0.6122448979591837	All
0.7450980392156863	All
0.5675675675675675	All
0.675	All
0.6363636363636364	All
0.6716417910447762	All
0.6491228070175439	All
0.6521739130434783	All
0.5901639344262295	All
0.7142857142857143	All
0.6666666666666666	All
0.6779661016949152	All
0.5932203389830508	All
0.6896551724137931	All
0.6792452830188679	All
0.6493506493506493	All
0.76	All
0.7313432835820896	All
